Feature,gpt,human
num_tokens:num_tokens,1.7730510127596435,-1.7730510127596435
letters:o,-0.613350427272832,0.613350427272832
punctuation::,0.5811713553720095,-0.5811713553720095
dep_labels:advcl,0.5681370518185703,-0.5681370518185703
func_words:which,-0.5498891038605516,0.5498891038605516
punctuation:;,-0.5493331784806778,0.5493331784806778
pos_bigrams:ADJ ADJ,-0.5127935124313068,0.5127935124313068
func_words:is,-0.4582000801660768,0.4582000801660768
punctuation:.,-0.4580542716094662,0.4580542716094662
pos_bigrams:ADV PUNCT,0.4563554744317193,-0.4563554744317193
punctuation:!,-0.4440369889187541,0.4440369889187541
func_words:do,-0.4183833513850159,0.4183833513850159
pos_bigrams:VERB PROPN,-0.4086328097500202,0.4086328097500202
letters:a,-0.4026070896780677,0.4026070896780677
func_words:other,-0.3995636402282801,0.3995636402282801
punctuation:-,-0.3995199786263103,0.3995199786263103
func_words:then,-0.3977677119436946,0.3977677119436946
func_words:maybe,0.3901658790070834,-0.3901658790070834
func_words:very,-0.3889867750200795,0.3889867750200795
morph_tags:PronType=Ind,0.3852609951059183,-0.3852609951059183
morph_tags:Aspect=Prog,0.3848017479975967,-0.3848017479975967
dep_labels:conj,-0.3771778416847934,0.3771778416847934
letters:W,-0.3762209322288689,0.3762209322288689
letters:b,-0.3745986767252327,0.3745986767252327
letters:z,0.374353857414708,-0.374353857414708
pos_bigrams:CCONJ PUNCT,-0.3659729710462631,0.3659729710462631
"punctuation:,",0.3656559836085482,-0.3656559836085482
dep_labels:auxpass,-0.362044344389019,0.362044344389019
func_words:few,-0.361350078959392,0.361350078959392
morph_tags:PunctType=Comm,0.3594946958480517,-0.3594946958480517
dep_labels:pcomp,0.3588937430956117,-0.3588937430956117
func_words:have,-0.3572495451803357,0.3572495451803357
pos_bigrams:PUNCT PROPN,0.3530456998607189,-0.3530456998607189
pos_bigrams:PUNCT ADP,-0.345955102513189,0.345955102513189
pos_bigrams:AUX PROPN,-0.3458894327571413,0.3458894327571413
func_words:are,-0.3433803197199192,0.3433803197199192
dep_labels:dative,-0.3396181203184478,0.3396181203184478
pos_bigrams:PART PUNCT,-0.3379575755674689,0.3379575755674689
pos_bigrams:PART ADV,0.3362437718103553,-0.3362437718103553
pos_bigrams:PRON PUNCT,-0.33148185437188,0.33148185437188
func_words:like,0.3281458811353924,-0.3281458811353924
func_words:certain,-0.3250278080056193,0.3250278080056193
func_words:into,0.3238724113416666,-0.3238724113416666
func_words:us,0.3232072687611956,-0.3232072687611956
dep_labels:relcl,0.3227014798225056,-0.3227014798225056
func_words:did,-0.3208846771917075,0.3208846771917075
letters:h,-0.3167174229461391,0.3167174229461391
func_words:were,-0.3155592333160329,0.3155592333160329
letters:I,-0.3137908367477424,0.3137908367477424
func_words:same,-0.3112302102212826,0.3112302102212826
func_words:would,-0.3104559283789885,0.3104559283789885
pos_bigrams:PUNCT PUNCT,-0.3065374736897007,0.3065374736897007
punctuation:*,0.3018894428104584,-0.3018894428104584
func_words:complex,0.3018251321597246,-0.3018251321597246
func_words:these,0.2991425298731663,-0.2991425298731663
func_words:our,0.2991311963245779,-0.2991311963245779
pos_bigrams:CCONJ INTJ,0.2972016446139218,-0.2972016446139218
pos_bigrams:NUM NOUN,-0.2948583608893842,0.2948583608893842
pos_bigrams:PUNCT DET,0.2933633553604425,-0.2933633553604425
func_words:just,0.2911186010612615,-0.2911186010612615
dep_labels:nsubjpass,-0.2897332475461572,0.2897332475461572
func_words:within,0.2891098709300041,-0.2891098709300041
func_words:with,0.2883005601768531,-0.2883005601768531
func_words:but,0.288279275394779,-0.288279275394779
func_words:where,0.286078161082499,-0.286078161082499
func_words:about,0.2847910375581984,-0.2847910375581984
pos_bigrams:VERB SCONJ,-0.2823001027928739,0.2823001027928739
pos_bigrams:AUX PART,-0.2811871005390481,0.2811871005390481
func_words:each,0.2799393135502867,-0.2799393135502867
pos_bigrams:PRON CCONJ,-0.2777162366057404,0.2777162366057404
func_words:main,-0.2732904040917176,0.2732904040917176
pos_bigrams:ADV CCONJ,-0.2725500434422261,0.2725500434422261
morph_tags:Foreign=Yes,-0.2725407016926687,0.2725407016926687
func_words:could,0.2704759299001383,-0.2704759299001383
func_words:difficult,-0.2697907082477999,0.2697907082477999
punctuation:&,-0.2684579802344305,0.2684579802344305
letters:n,0.2665087729009981,-0.2665087729009981
pos_bigrams:VERB NUM,-0.2657544737999748,0.2657544737999748
func_words:to,-0.2641501353450408,0.2641501353450408
func_words:also,-0.2641194085865164,0.2641194085865164
pos_bigrams:ADP ADP,-0.2630715682626687,0.2630715682626687
pos_bigrams:ADP NUM,-0.2619816363106745,0.2619816363106745
sentences:it-cleft,0.2615049558751198,-0.2615049558751198
func_words:by,-0.2609126022628402,0.2609126022628402
func_words:in,-0.2596079115490823,0.2596079115490823
func_words:had,-0.2575658587854363,0.2575658587854363
func_words:well,-0.2563891536464417,0.2563891536464417
morph_tags:PunctSide=Fin,-0.2556103723430064,0.2556103723430064
pos_bigrams:NOUN DET,-0.2550712509301273,0.2550712509301273
func_words:might,0.2540280611835092,-0.2540280611835092
pos_bigrams:NOUN CCONJ,0.2497425777245563,-0.2497425777245563
func_words:so,-0.2471566326494857,0.2471566326494857
func_words:wrong,-0.2466201944668921,0.2466201944668921
pos_bigrams:NUM NUM,-0.2443252386940223,0.2443252386940223
dep_labels:acl,0.2419973507097689,-0.2419973507097689
pos_bigrams:VERB ADJ,0.241736833626777,-0.241736833626777
letters:S,-0.2415103052356781,0.2415103052356781
morph_tags:VerbForm=Fin,-0.2393750020929885,0.2393750020929885
func_words:perhaps,0.2379544869230067,-0.2379544869230067
pos_bigrams:PUNCT ADJ,-0.2362632851282624,0.2362632851282624
letters:i,0.2360313933242197,-0.2360313933242197
pos_bigrams:AUX ADV,-0.2345340576168266,0.2345340576168266
morph_tags:Gender=Neut,0.2344025377074747,-0.2344025377074747
func_words:whom,-0.2342895827446689,0.2342895827446689
pos_bigrams:AUX ADJ,0.2335846094545509,-0.2335846094545509
func_words:previous,-0.2328273428394194,0.2328273428394194
sentences:passive,-0.2311531580047465,0.2311531580047465
pos_bigrams:PUNCT NOUN,-0.2310079455844513,0.2310079455844513
func_words:he,-0.2307649573930483,0.2307649573930483
func_words:no,-0.2306397013276451,0.2306397013276451
func_words:definite,-0.2295519682847664,0.2295519682847664
func_words:only,-0.2294106043082597,0.2294106043082597
pos_bigrams:PUNCT PRON,0.228019797069607,-0.228019797069607
pos_bigrams:ADV PRON,-0.2254511096232682,0.2254511096232682
func_words:at,-0.2244072790594412,0.2244072790594412
func_words:against,0.2219536263030991,-0.2219536263030991
func_words:she,-0.2207825308127781,0.2207825308127781
func_words:on,-0.2188914856349217,0.2188914856349217
pos_bigrams:ADV X,0.2186791929270138,-0.2186791929270138
func_words:next,0.2180306991593323,-0.2180306991593323
func_words:good,-0.2166451679910579,0.2166451679910579
func_words:tomorrow,0.2156064980787107,-0.2156064980787107
func_words:the,-0.215556741333825,0.215556741333825
pos_bigrams:NUM ADJ,-0.2155381763242632,0.2155381763242632
func_words:both,0.2146439592101584,-0.2146439592101584
pos_bigrams:CCONJ PRON,-0.2123962525957053,0.2123962525957053
letters:l,-0.2122574243685416,0.2122574243685416
func_words:major,-0.2115825200483568,0.2115825200483568
func_words:negative,-0.2099836073139002,0.2099836073139002
pos_bigrams:VERB PART,0.2093683012638257,-0.2093683012638257
letters:H,-0.208560211900617,0.208560211900617
pos_unigrams:NUM,-0.2066513477714706,0.2066513477714706
pos_bigrams:INTJ PUNCT,-0.2063806689280644,0.2063806689280644
pos_unigrams:INTJ,-0.2062234852972686,0.2062234852972686
pos_bigrams:PRON SCONJ,-0.2055952703997795,0.2055952703997795
pos_bigrams:AUX DET,0.2034580380320833,-0.2034580380320833
morph_tags:NumType=Card,-0.2026070685083271,0.2026070685083271
func_words:below,-0.2023671547543608,0.2023671547543608
pos_bigrams:VERB CCONJ,-0.2006669515321011,0.2006669515321011
func_words:may,-0.1981484608558571,0.1981484608558571
pos_bigrams:NOUN VERB,0.1979260727307766,-0.1979260727307766
func_words:important,-0.1978508722254276,0.1978508722254276
morph_tags:PunctSide=Ini,-0.1972649536568151,0.1972649536568151
pos_bigrams:SCONJ AUX,-0.196629118597987,0.196629118597987
pos_bigrams:ADJ CCONJ,-0.1959892598883113,0.1959892598883113
morph_tags:VerbForm=Inf,0.1935891745190384,-0.1935891745190384
letters:Y,-0.19277965092151,0.19277965092151
letters:w,-0.1922420867887774,0.1922420867887774
pos_bigrams:PROPN DET,-0.1903864007103524,0.1903864007103524
pos_bigrams:PRON PART,-0.1893710287449962,0.1893710287449962
func_words:necessary,0.1892630450919376,-0.1892630450919376
pos_bigrams:DET PROPN,-0.1891521763139546,0.1891521763139546
func_words:her,-0.1886596702486463,0.1886596702486463
func_words:and,-0.1876791877316286,0.1876791877316286
pos_bigrams:ADJ PART,0.1872296033924221,-0.1872296033924221
pos_bigrams:NOUN NOUN,-0.1871336964713219,0.1871336964713219
func_words:for,0.1869219695205502,-0.1869219695205502
pos_bigrams:SCONJ ADP,-0.1854357468416638,0.1854357468416638
sentences:obj-relcl,-0.1838974853767107,0.1838974853767107
pos_bigrams:ADP DET,-0.1827717346177116,0.1827717346177116
func_words:beyond,0.1826863790056985,-0.1826863790056985
pos_bigrams:NOUN PUNCT,0.1826441267812713,-0.1826441267812713
dep_labels:neg,-0.1823176033294674,0.1823176033294674
pos_bigrams:X DET,0.1820167528263585,-0.1820167528263585
pos_bigrams:ADJ NOUN,0.1813182484655853,-0.1813182484655853
pos_bigrams:SCONJ ADJ,0.1808520931505007,-0.1808520931505007
dep_labels:preconj,0.1798237858941533,-0.1798237858941533
dep_labels:mark,-0.1768312007838204,0.1768312007838204
pos_bigrams:SCONJ NUM,-0.1744184028219613,0.1744184028219613
dep_labels:meta,-0.1742692386923519,0.1742692386923519
letters:g,0.1740773554527081,-0.1740773554527081
pos_bigrams:ADV ADV,-0.1738998388438484,0.1738998388438484
pos_bigrams:ADJ SCONJ,0.1738360851836305,-0.1738360851836305
func_words:through,0.1715320958873454,-0.1715320958873454
pos_bigrams:ADV ADJ,-0.171121136941454,0.171121136941454
pos_bigrams:PUNCT VERB,0.1709848133118565,-0.1709848133118565
pos_bigrams:DET NUM,-0.170502365796834,0.170502365796834
pos_bigrams:DET ADV,-0.1701669551958331,0.1701669551958331
pos_bigrams:ADV NUM,-0.1699975442773103,0.1699975442773103
pos_bigrams:PUNCT NUM,-0.1699108894443241,0.1699108894443241
morph_tags:VerbForm=Part,0.1698505897681753,-0.1698505897681753
pos_bigrams:PUNCT X,-0.1688105132662407,0.1688105132662407
letters:C,-0.1676811203828203,0.1676811203828203
morph_tags:PunctType=Brck,-0.1675642697231703,0.1675642697231703
pos_bigrams:AUX CCONJ,0.1672681014895655,-0.1672681014895655
pos_bigrams:X PUNCT,0.1670357156824701,-0.1670357156824701
pos_bigrams:PROPN NOUN,-0.1664465702138693,0.1664465702138693
func_words:more,0.1660897543553,-0.1660897543553
morph_tags:Aspect=Perf,-0.1660372759418529,0.1660372759418529
pos_bigrams:SCONJ PUNCT,-0.1658324061924102,0.1658324061924102
dep_labels:attr,0.1656402876593558,-0.1656402876593558
func_words:ever,0.1655979506895533,-0.1655979506895533
sentences:subj-relcl,0.1651204742562072,-0.1651204742562072
dep_labels:expl,-0.1648442154188904,0.1648442154188904
pos_bigrams:CCONJ NOUN,0.16429360635022,-0.16429360635022
punctuation:(,-0.1628576360230586,0.1628576360230586
func_words:hers,0.1626025615547371,-0.1626025615547371
func_words:here,-0.1623157021610215,0.1623157021610215
morph_tags:Degree=Sup,0.1622146385215635,-0.1622146385215635
func_words:first,-0.1621451632751101,0.1621451632751101
letters:G,-0.1621405427228029,0.1621405427228029
pos_bigrams:PART VERB,-0.1620688775842208,0.1620688775842208
morph_tags:Gender=Fem,-0.1618088661689397,0.1618088661689397
pos_bigrams:ADJ NUM,-0.161687815405188,0.161687815405188
func_words:will,-0.1616144837175666,0.1616144837175666
pos_bigrams:ADP PUNCT,0.1609180034868991,-0.1609180034868991
pos_bigrams:NUM SYM,0.1609067094219575,-0.1609067094219575
pos_bigrams:SCONJ PART,-0.1607041775059694,0.1607041775059694
func_words:from,-0.1605570169026997,0.1605570169026997
morph_tags:Definite=Def,-0.1602576387403001,0.1602576387403001
morph_tags:Poss=Yes,0.1595626693376288,-0.1595626693376288
morph_tags:PronType=Art,-0.159493719880127,0.159493719880127
func_words:whose,0.1592722979851652,-0.1592722979851652
letters:p,-0.1589958191425818,0.1589958191425818
pos_bigrams:X NUM,-0.1589175686913741,0.1589175686913741
func_words:when,-0.1563570093852337,0.1563570093852337
func_words:myself,0.155994370604916,-0.155994370604916
func_words:that,-0.1554625536354639,0.1554625536354639
dep_labels:oprd,0.1552831733873413,-0.1552831733873413
morph_tags:Person=3,-0.1549918605611497,0.1549918605611497
pos_bigrams:DET ADP,-0.1543670215714177,0.1543670215714177
pos_bigrams:AUX NOUN,-0.1539340962427345,0.1539340962427345
letters:m,0.1539151198539105,-0.1539151198539105
pos_bigrams:PUNCT CCONJ,-0.1522240960293152,0.1522240960293152
pos_bigrams:PRON X,-0.1514569781635281,0.1514569781635281
letters:c,0.1514144441598839,-0.1514144441598839
func_words:him,-0.1513539650436475,0.1513539650436475
punctuation:',0.1512460803743107,-0.1512460803743107
func_words:yes,0.1509922964801679,-0.1509922964801679
pos_bigrams:DET ADJ,0.1508849187696832,-0.1508849187696832
morph_tags:VerbType=Mod,0.1503941103252895,-0.1503941103252895
func_words:those,0.1494494518375248,-0.1494494518375248
letters:u,0.1481180641094595,-0.1481180641094595
pos_bigrams:VERB PUNCT,0.1477416266633767,-0.1477416266633767
pos_bigrams:ADP NOUN,0.1441683998836394,-0.1441683998836394
func_words:beneath,0.1438331399314488,-0.1438331399314488
pos_bigrams:PROPN ADV,-0.1431756633279168,0.1431756633279168
letters:d,-0.1425690305641618,0.1425690305641618
pos_bigrams:PRON PROPN,-0.1424004632308377,0.1424004632308377
pos_bigrams:ADJ PROPN,-0.141845728805695,0.141845728805695
func_words:how,0.1408626371212607,-0.1408626371212607
pos_bigrams:PRON AUX,-0.1404881573875346,0.1404881573875346
punctuation:),-0.1394255441702649,0.1394255441702649
pos_bigrams:PROPN NUM,0.139168416713863,-0.139168416713863
func_words:soon,0.1380622991467217,-0.1380622991467217
dep_labels:ROOT,-0.1379894245630387,0.1379894245630387
pos_bigrams:VERB VERB,-0.1371328324963815,0.1371328324963815
func_words:after,-0.1361688818686311,0.1361688818686311
pos_bigrams:INTJ PRON,-0.1357402267135558,0.1357402267135558
morph_tags:Degree=Cmp,-0.1355276401974684,0.1355276401974684
dep_labels:quantmod,-0.13534433868488,0.13534433868488
pos_bigrams:PROPN AUX,0.1349570675701098,-0.1349570675701098
pos_bigrams:PROPN PART,0.1345038788727988,-0.1345038788727988
pos_bigrams:SYM NUM,0.1335552438355804,-0.1335552438355804
morph_tags:PunctType=Quot,-0.1333923148153203,0.1333923148153203
pos_bigrams:NUM SCONJ,-0.1331979434266801,0.1331979434266801
func_words:of,-0.1331752933441484,0.1331752933441484
func_words:must,0.1316900950852264,-0.1316900950852264
pos_bigrams:VERB DET,0.1311553936842329,-0.1311553936842329
func_words:bad,-0.1308474798535939,0.1308474798535939
letters:X,-0.130507588490058,0.130507588490058
pos_unigrams:PRON,-0.1294841115210949,0.1294841115210949
pos_bigrams:SCONJ VERB,0.1292141501675947,-0.1292141501675947
pos_bigrams:PART ADJ,0.1284044750077512,-0.1284044750077512
func_words:be,-0.1276428864947255,0.1276428864947255
pos_bigrams:NOUN PART,-0.1267097269904603,0.1267097269904603
pos_bigrams:PART AUX,-0.1263331814818937,0.1263331814818937
func_words:yourself,0.1262498849490829,-0.1262498849490829
morph_tags:Case=Acc,-0.1262054504994671,0.1262054504994671
morph_tags:NumType=Mult,0.1257703042451588,-0.1257703042451588
dep_labels:nummod,-0.1255865316188094,0.1255865316188094
func_words:themselves,-0.1250918319202456,0.1250918319202456
pos_bigrams:CCONJ ADJ,0.1244946706648723,-0.1244946706648723
pos_bigrams:NUM CCONJ,-0.1244286649453741,0.1244286649453741
pos_bigrams:ADJ VERB,-0.1243687809477012,0.1243687809477012
dep_labels:compound,-0.1241483215964869,0.1241483215964869
func_words:across,0.1225753499516205,-0.1225753499516205
pos_bigrams:INTJ PROPN,-0.1223968847867012,0.1223968847867012
pos_bigrams:NUM ADV,-0.1215090874560507,0.1215090874560507
pos_bigrams:INTJ AUX,-0.1214687955126078,0.1214687955126078
func_words:today,0.1214215557459351,-0.1214215557459351
func_words:during,0.1210052277463851,-0.1210052277463851
morph_tags:Reflex=Yes,0.1208851854667932,-0.1208851854667932
pos_bigrams:NUM AUX,-0.1205615132710096,0.1205615132710096
func_words:final,-0.1204604454210779,0.1204604454210779
pos_bigrams:PUNCT AUX,0.120263862851283,-0.120263862851283
func_words:its,-0.1202530785083381,0.1202530785083381
dep_labels:pobj,-0.1202399935021576,0.1202399935021576
dep_labels:csubjpass,-0.1201965504426157,0.1201965504426157
pos_unigrams:ADP,-0.119773833690459,0.119773833690459
pos_bigrams:NUM PUNCT,-0.1196233955583316,0.1196233955583316
dep_labels:csubj,0.1195238795922547,-0.1195238795922547
letters:f,-0.1195185488636448,0.1195185488636448
dep_labels:npadvmod,-0.1190302442207261,0.1190302442207261
pos_bigrams:NOUN X,-0.1184965094106898,0.1184965094106898
pos_unigrams:AUX,-0.1180521640543831,0.1180521640543831
func_words:ok,-0.1178917750578035,0.1178917750578035
pos_bigrams:DET X,-0.1170730744095614,0.1170730744095614
func_words:true,0.1165465845746905,-0.1165465845746905
pos_bigrams:PROPN INTJ,0.1165198344787697,-0.1165198344787697
letters:x,-0.1165067702637836,0.1165067702637836
letters:k,-0.1142518745000644,0.1142518745000644
pos_bigrams:AUX AUX,-0.1140414312263669,0.1140414312263669
func_words:obvious,-0.1132435130655022,0.1132435130655022
sentences:parenthetical,0.1131826960913921,-0.1131826960913921
pos_unigrams:PART,-0.1125437201231529,0.1125437201231529
pos_bigrams:PRON PRON,-0.1122819897858439,0.1122819897858439
pos_bigrams:PUNCT SCONJ,-0.1120975509796688,0.1120975509796688
func_words:impossible,0.11153476939222,-0.11153476939222
pos_bigrams:NOUN PRON,0.1115072524221151,-0.1115072524221151
dep_labels:ccomp,-0.1109715683720731,0.1109715683720731
func_words:now,-0.11062773653765,0.11062773653765
func_words:above,-0.1104268986288407,0.1104268986288407
pos_bigrams:CCONJ PART,-0.1101215305442864,0.1101215305442864
pos_bigrams:PRON NOUN,0.1098100966966485,-0.1098100966966485
dep_labels:poss,0.1092249682770493,-0.1092249682770493
func_words:what,0.1091673243815428,-0.1091673243815428
pos_bigrams:VERB AUX,0.1089682946782588,-0.1089682946782588
pos_bigrams:SCONJ ADV,0.1083231466540162,-0.1083231466540162
func_words:okay,-0.1079770878286465,0.1079770878286465
pos_bigrams:ADP INTJ,-0.1075859047725868,0.1075859047725868
morph_tags:NumType=Ord,0.1074906582542032,-0.1074906582542032
dep_labels:acomp,0.1073298220902929,-0.1073298220902929
letters:V,-0.1065693057681788,0.1065693057681788
pos_bigrams:X X,-0.1053167945606234,0.1053167945606234
letters:v,0.1048321640512819,-0.1048321640512819
pos_bigrams:NOUN INTJ,0.1048041892157804,-0.1048041892157804
pos_bigrams:DET INTJ,-0.1023165823050007,0.1023165823050007
func_words:small,0.1022173351496805,-0.1022173351496805
pos_bigrams:AUX NUM,-0.1021088799183397,0.1021088799183397
func_words:not,-0.1013913046424772,0.1013913046424772
pos_bigrams:INTJ CCONJ,0.101350145318887,-0.101350145318887
pos_bigrams:PART ADP,0.1008813761964041,-0.1008813761964041
func_words:possible,-0.1004268934541859,0.1004268934541859
letters:j,0.0994480045079086,-0.0994480045079086
morph_tags:Gender=Masc,-0.0991965279553956,0.0991965279553956
func_words:last,-0.0987716652856888,0.0987716652856888
morph_tags:PronType=Rel,0.0981021393398121,-0.0981021393398121
func_words:big,-0.0980694850103002,0.0980694850103002
pos_bigrams:PROPN VERB,-0.0978920656105755,0.0978920656105755
func_words:outside,-0.0977406183977515,0.0977406183977515
pos_bigrams:INTJ X,-0.0976888027660112,0.0976888027660112
pos_bigrams:PRON DET,-0.0976268667573076,0.0976268667573076
pos_bigrams:ADJ AUX,-0.0962816604623203,0.0962816604623203
pos_bigrams:NUM VERB,0.0961206349669912,-0.0961206349669912
morph_tags:Person=1,-0.0956909489192966,0.0956909489192966
pos_bigrams:CCONJ ADV,0.09523858874963,-0.09523858874963
pos_bigrams:DET PRON,-0.0951130785254409,0.0951130785254409
morph_tags:Tense=Past,-0.0944878590431475,0.0944878590431475
func_words:clear,-0.0935640478915701,0.0935640478915701
pos_bigrams:X PRON,-0.0932003107160565,0.0932003107160565
pos_bigrams:ADP PRON,-0.0930333656373236,0.0930333656373236
func_words:i,-0.0929860158596943,0.0929860158596943
pos_bigrams:NUM INTJ,-0.0925508265344464,0.0925508265344464
pos_bigrams:ADJ ADV,0.0923433288731601,-0.0923433288731601
func_words:should,-0.0922215367949672,0.0922215367949672
pos_unigrams:SCONJ,-0.0914766265734453,0.0914766265734453
pos_bigrams:PART PRON,0.090995062743356,-0.090995062743356
func_words:really,-0.0908279105729803,0.0908279105729803
pos_bigrams:NOUN ADJ,0.0903133381426234,-0.0903133381426234
pos_bigrams:DET PUNCT,-0.090146196384484,0.090146196384484
pos_bigrams:CCONJ ADP,-0.08973667725059,0.08973667725059
morph_tags:Polarity=Neg,-0.0895137105670373,0.0895137105670373
func_words:far,-0.0888590847040919,0.0888590847040919
pos_bigrams:PART INTJ,-0.0888408452064766,0.0888408452064766
func_words:towards,0.0886691099892728,-0.0886691099892728
letters:L,0.0879640068232328,-0.0879640068232328
pos_unigrams:NOUN,0.087759850750291,-0.087759850750291
letters:E,0.0873802587462757,-0.0873802587462757
